,genre,ranking,title,year,link
212,art_house__international,13,Tokyo Story (Tôkyô monogatari),1953,https://www.rottentomatoes.com/m/tokyo_story
213,art_house__international,14,Battleship Potemkin,1925,https://www.rottentomatoes.com/m/battleship_potemkin
214,art_house__international,15,The Conformist,1970,https://www.rottentomatoes.com/m/the_conformist
215,art_house__international,16,Au Hasard Balthazar,1966,https://www.rottentomatoes.com/m/balthazar
216,art_house__international,17,La Dolce Vita,1960,https://www.rottentomatoes.com/m/dolce_vita
217,art_house__international,18,Let the Right One In,2008,https://www.rottentomatoes.com/m/let_the_right_one_in
218,art_house__international,19,The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie),1972,https://www.rottentomatoes.com/m/discreet_charm_of_the_bourgeoisie
219,art_house__international,20,"Faces Places (Visages, villages)",2017,https://www.rottentomatoes.com/m/faces_places
220,art_house__international,21,The Rules of the Game (La règle du jeu),1939,https://www.rottentomatoes.com/m/the_rules_of_the_game
221,art_house__international,22,The Passion of Joan of Arc (La Passion de Jeanne d'Arc),1928,https://www.rottentomatoes.com/m/passion_of_joan_of_arc
222,art_house__international,23,Things to Come (L'avenir),2016,https://www.rottentomatoes.com/m/things_to_come_2016
223,art_house__international,24,A Separation,2011,https://www.rottentomatoes.com/m/a_separation_2011
224,art_house__international,25,Only Yesterday,1991,https://www.rottentomatoes.com/m/only_yesterday_1991
225,art_house__international,26,Tampopo,1985,https://www.rottentomatoes.com/m/tampopo
226,art_house__international,27,The Salesman (Forushande),2017,https://www.rottentomatoes.com/m/the_salesman_2017
227,art_house__international,28,"Aguirre, the Wrath of God (Aguirre, der Zorn Gottes)",1972,https://www.rottentomatoes.com/m/aguirre_the_wrath_of_god
228,art_house__international,29,Throne of Blood,1957,https://www.rottentomatoes.com/m/throne_of_blood
229,art_house__international,30,Eyes Without a Face,1962,https://www.rottentomatoes.com/m/eyes_without_a_face_1962
230,art_house__international,31,The Umbrellas of Cherbourg (Les Parapluies de Cherbourg),1964,https://www.rottentomatoes.com/m/the_umbrellas_of_cherbourg_1964
231,art_house__international,32,Gloria,2014,https://www.rottentomatoes.com/m/gloria_2012
232,art_house__international,33,8 1/2,1963,https://www.rottentomatoes.com/m/8-12
233,art_house__international,34,Pather Panchali,1955,https://www.rottentomatoes.com/m/pather_panchali
234,art_house__international,35,The Leopard,1963,https://www.rottentomatoes.com/m/the_leopard_1963
235,art_house__international,36,My Life as a Zucchini (Ma vie de courgette),2017,https://www.rottentomatoes.com/m/my_life_as_a_zucchini
236,art_house__international,37,Three Colors: Red (Trois couleurs: Rouge),1994,https://www.rottentomatoes.com/m/1058966-red
237,art_house__international,38,The Tale of the Princess Kaguya,2014,https://www.rottentomatoes.com/m/the_tale_of_the_princess_kaguya
238,art_house__international,39,Amy,2015,https://www.rottentomatoes.com/m/amy_2015
239,art_house__international,40,BPM (Beats Per Minute) (120 battements par minute),2017,https://www.rottentomatoes.com/m/bpm
240,art_house__international,41,Sing Street,2016,https://www.rottentomatoes.com/m/sing_street
241,art_house__international,42,Le Cercle Rouge,1970,https://www.rottentomatoes.com/m/le_cercle_rouge
242,art_house__international,43,Playtime,1973,https://www.rottentomatoes.com/m/playtime
243,art_house__international,44,Der Blaue Engel (The Blue Angel),1930,https://www.rottentomatoes.com/m/1002681-blue_angel
244,art_house__international,45,Ran,1985,https://www.rottentomatoes.com/m/ran
245,art_house__international,46,A Fistful of Dollars (Per un Pugno di Dollari),1964,https://www.rottentomatoes.com/m/fistful_of_dollars
246,art_house__international,47,GETT: The Trial of Viviane Amsalem,2015,https://www.rottentomatoes.com/m/gett_the_trial_of_viviane_amsalem
247,art_house__international,48,Wings of Desire,1987,https://www.rottentomatoes.com/m/wings_of_desire
248,art_house__international,49,The Young Girls of Rochefort (Les Demoiselles de Rochefort),1968,https://www.rottentomatoes.com/m/the_young_girls_of_rochefort
249,art_house__international,50,A Fantastic Woman (Una mujer fantástica),2018,https://www.rottentomatoes.com/m/a_fantastic_woman
250,art_house__international,51,Timbuktu,2015,https://www.rottentomatoes.com/m/timbuktu_2015
251,art_house__international,52,"Crouching Tiger, Hidden Dragon",2001,https://www.rottentomatoes.com/m/crouching_tiger_hidden_dragon
252,art_house__international,53,Godzilla (Gojira),1954,https://www.rottentomatoes.com/m/godzilla_1956
253,art_house__international,54,Jiro Dreams of Sushi,2012,https://www.rottentomatoes.com/m/jiro_dreams_of_sushi
254,art_house__international,55,Aruitemo Aruitemo (Still Walking),2008,https://www.rottentomatoes.com/m/1216014-still_walking
255,art_house__international,56,Toni Erdmann,2016,https://www.rottentomatoes.com/m/toni_erdmann
256,art_house__international,57,Diva,1981,https://www.rottentomatoes.com/m/1005973-diva
257,art_house__international,58,The Class,2008,https://www.rottentomatoes.com/m/the_class
258,art_house__international,59,L'Avventura,1960,https://www.rottentomatoes.com/m/lavventura
259,art_house__international,60,God's Own Country,2017,https://www.rottentomatoes.com/m/gods_own_country_2017
260,art_house__international,61,The Taste of Others (Le goût des autres),2000,https://www.rottentomatoes.com/m/the_taste_of_others
261,art_house__international,62,All About My Mother (Todo sobre mi madre),1999,https://www.rottentomatoes.com/m/all_about_my_mother
262,art_house__international,63,The Band's Visit,2007,https://www.rottentomatoes.com/m/the_bands_visit
263,art_house__international,64,Poetry,2011,https://www.rottentomatoes.com/m/poetry_2010
264,art_house__international,65,Waste Land,2010,https://www.rottentomatoes.com/m/waste-land
265,art_house__international,66,A Prophet (Un prophete),2010,https://www.rottentomatoes.com/m/1213205-prophet
266,art_house__international,67,Solaris,1976,https://www.rottentomatoes.com/m/solaris_1976
267,art_house__international,68,Loveless (Nelyubov),2018,https://www.rottentomatoes.com/m/loveless_2018
268,art_house__international,69,Afghan Star,2009,https://www.rottentomatoes.com/m/afghan_star
269,art_house__international,70,Waltz with Bashir,2008,https://www.rottentomatoes.com/m/waltz_with_bashir
270,art_house__international,71,Elevator to the Gallows (Ascenseur pour l'échafaud),1958,https://www.rottentomatoes.com/m/elevator_to_the_gallows
271,art_house__international,72,Embrace Of The Serpent (El Abrazo De La Serpiente),2016,https://www.rottentomatoes.com/m/embrace_of_the_serpent
272,art_house__international,73,The Vanishing (Spoorloos),1988,https://www.rottentomatoes.com/m/the_vanishing
273,art_house__international,74,Three Colors: Blue (Trois Couleurs: Bleu),1993,https://www.rottentomatoes.com/m/three_colors_blue
274,art_house__international,75,After the Storm (Umi yori mo mada fukaku),2017,https://www.rottentomatoes.com/m/after_the_storm_2017
275,art_house__international,76,Amour,2012,https://www.rottentomatoes.com/m/amour_2013
276,art_house__international,77,Project Nim,2011,https://www.rottentomatoes.com/m/project_nim
277,art_house__international,78,About Elly,2015,https://www.rottentomatoes.com/m/about_elly
